inicio;fim;cod;tamanho;desc;tipo;multiplica
1;2;V0001;2;UNIDADE DA FEDERACAO;integer;1
3;7;V0002;5;CÓDIGO DO MUNICÍPIO;integer;1
8;20;V0011;13;ÁREA DE PONDERAÇÃO;character;1
21;28;V0300;8;CONTROLE;integer;1
29;44;V0010;16;PESO AMOSTRAL;numeric;1E-13
45;45;V1001;1;REGIÃO GEOGRÁFICA;integer;1
46;47;V1002;2;CÓDIGO DA MESORREGIÃO;integer;1
48;50;V1003;3;CÓDIGO DA MICRORREGIÃO;integer;1
51;52;V1004;2;CÓDIGO DA REGIÃO METROPOLITANA;integer;1
53;53;V1006;1;SITUAÇÃO DO DOMICÍLIO;integer;1
54;55;V4001;2;ESPÉCIE DE UNIDADE VISITADA;integer;1
56;57;V4002;2;TIPO DE ESPÉCIE;integer;1
58;58;V0201;1;DOMICÍLIO, CONDIÇÃO DE OCUPAÇÃO;integer;1
59;64;V2011;6;VALOR DO ALUGUEL (EM REAIS)             ;integer;1
65;73;V2012;9;ALUGUEL EM Nº DE SALÁRIOS MÍNIMOS;numeric;0,00001
74;74;V0202;1;MATERIAL PREDOMINANTE, PAREDES EXTERNAS;character;1
75;76;V0203;2;CÔMODOS, NÚMERO;integer;1
77;79;V6203;3;DENSIDADE DE MORADOR/CÔMODO;numeric;0,1
80;81;V0204;2;CÔMODOS COMO DORMITÓRIO, NÚMERO:;integer;1
82;84;V6204;3;DENSIDADE DE MORADOR / DORMITÓRIO  ;numeric;0,1
85;85;V0205;1;BANHEIROS DE USO EXCLUSIVO, NÚMERO;integer;1
86;86;V0206;1;SANITÁRIO OU BURACO PARA DEJEÇÕES, EXISTÊNCIA;character;1
87;87;V0207;1;ESGOTAMENTO SANITÁRIO, TIPO;integer;1
88;89;V0208;2;ABASTECIMENTO DE ÁGUA, FORMA;integer;1
90;90;V0209;1;ABASTECIMENTO DE ÁGUA, CANALIZAÇÃO;integer;1
91;91;V0210;1;LIXO, DESTINO;integer;1
92;92;V0211;1;ENERGIA ELÉTRICA, EXISTÊNCIA;integer;1
93;93;V0212;1;EXISTÊNCIA DE MEDIDOR OU RELÓGIO, ENERGIA ELÉTRICA;integer;1
94;94;V0213;1;RÁDIO, EXISTÊNCIA;integer;1
95;95;V0214;1;TELEVISÃO, EXISTÊNCIA;integer;1
96;96;V0215;1;MÁQUINA DE LAVAR ROUPA, EXISTÊNCIA;integer;1
97;97;V0216;1;GELADEIRA, EXISTÊNCIA;integer;1
98;98;V0217;1;TELEFONE CELULAR, EXISTÊNCIA;integer;1
99;99;V0218;1;TELEFONE FIXO, EXISTÊNCIA;integer;1
100;100;V0219;1;MICROCOMPUTADOR, EXISTÊNCIA;integer;1
101;101;V0220;1;MICROCOMPUTADOR COM ACESSO À INTERNET;integer;1
102;102;V0221;1;MOTOCICLETA PARA USO PARTICULAR;integer;1
103;103;V0222;1;AUTOMÓVEL PARA USO PARTICULAR;integer;1
104;104;V0301;1;ALGUMA PESSOA QUE MORAVA COM VOCÊ(S) ESTAVA MORANDO EM OUTRO PAÍS EM 31 DE JULHO DE 2010;integer;1
105;106;V0401;2;QUANTAS PESSOAS MORAVAM NESTE DOMICÍLIO EM 31 DE JULHO DE 2010;integer;1
107;107;V0402;1;A RESPONSABILIDADE PELO DOMICÍLIO É DE;integer;1
108;108;V0701;1;DE AGOSTO DE 2009 A JULHO DE 2010, FALECEU ALGUMA PESSOA QUE MORAVA COM VOCÊ(S) (INCLUSIVE CRIANÇAS RECÉM-NASCIDAS E IDOSOS);integer;1
109;115;V6529;7;RENDIMENTO MENSAL DOMICILIAR EM JULHO DE 2010;integer;1
116;125;V6530;10;RENDIMENTO DOMICILIAR, SALÁRIOS MÍNIMOS, EM JULHO DE 2010;numeric;0,00001
126;133;V6531;8;RENDIMENTO DOMICILIAR PER CAPITA EM JULHO DE 2010;numeric;0,01
134;142;V6532;9;RENDIMENTO DOMICILIAR PER CAPITA, EM Nº DE SALÁRIOS MÍNIMOS, EM JULHO DE 2010;numeric;0,00001
143;143;V6600;1;Espécie da Unidade Doméstica;integer;1
144;144;V6210;1;ADEQUAÇÃO DA MORADIA;integer;1
145;145;M0201;1;MARCA DE IMPUTAÇÃO NA V0201;integer;1
146;146;M2011;1;MARCA DE IMPUTAÇÃO NA V20;integer;1
147;147;M0202;1;MARCA DE IMPUTAÇÃO NA V02;integer;1
148;148;M0203;1;MARCA DE IMPUTAÇÃO NA V02;integer;1
149;149;M0204;1;MARCA DE IMPUTAÇÃO NA V02;integer;1
150;150;M0205;1;MARCA DE IMPUTAÇÃO NA V02;integer;1
151;151;M0206;1;MARCA DE IMPUTAÇÃO NA V02;integer;1
152;152;M0207;1;MARCA DE IMPUTAÇÃO NA V02;integer;1
153;153;M0208;1;MARCA DE IMPUTAÇÃO NA V02;integer;1
154;154;M0209;1;MARCA DE IMPUTAÇÃO NA V02;integer;1
155;155;M0210;1;MARCA DE IMPUTAÇÃO NA V02;integer;1
156;156;M0211;1;MARCA DE IMPUTAÇÃO NA V0211:;integer;1
157;157;M0212;1;MARCA DE IMPUTAÇÃO NA V02;integer;1
