inicio;fim;cod;tamanho;desc;tipo;multiplica
1;2;V0001;2;UNIDADE DA FEDERACAO;integer;1
3;7;V0002;5;CÓDIGO DO MUNICÍPIO;integer;1
8;20;V0011;13;ÁREA DE PONDERAÇÃO;character;1
21;28;V0300;8;CONTROLE;integer;1
29;44;V0010;16;PESO AMOSTRAL;numeric;1,00E-13
45;45;V1001;1;REGIÃO GEOGRÁFICA;integer;1
46;47;V1002;2;CÓDIGO DA MESORREGIÃO;integer;1
48;50;V1003;3;CÓDIGO DA MICRORREGIÃO;integer;1
51;52;V1004;2;CÓDIGO DA REGIÃO METROPOLITANA;integer;1
53;53;V1006 ;1;SITUAÇÃO DO DOMICÍLIO;integer;1
54;54;V0303;1;SEXO DO EMIGRANTE;integer;1
55;58;V0304;4;ANO DE NASCIMENTO DO EMIGRANTE;integer;1
59;62;V0305;4;ANO DA ÚLTIMA PARTIDA DO EMIGRANTE;integer;1
63;69;V3061;7;PAÍS DE RESIDÊNCIA EM 31 DE JULHO DE 2010;integer;1
70;70;M0303;1;MARCA DE IMPUTAÇÃO NA V0303;integer;1
71;71;M0304;1;MARCA DE IMPUTAÇÃO NA V0304;integer;1
72;72;M0305;1;MARCA DE IMPUTAÇÃO NA V0305;integer;1
73;73;M3061;1;MARCA DE IMPUTAÇÃO NA V3061;integer;1
