inicio;fim;cod;tamanho;desc;tipo;multiplica
1;2;V0001;2;UNIDADE DA FEDERACAO;integer;1
3;7;V0002;5;CÓDIGO DO MUNICÍPIO;integer;1
8;20;V0011;13;ÁREA DE PONDERAÇÃO;numeric;1
21;28;V0300;8;CONTROLE;integer;1
29;44;V0010;16;PESO AMOSTRAL;numeric;1,00E-13
45;45;V1001;1;REGIÃO GEOGRÁFICA;integer;1
46;47;V1002;2;CÓDIGO DA MESORREGIÃO;integer;1
48;50;V1003;3;CÓDIGO DA MICRORREGIÃO;integer;1
51;52;V1004;2;CÓDIGO DA REGIÃO METROPOLITANA;integer;1
53;53;V1006;1;SITUAÇÃO DO DOMICÍLIO;integer;1
54;55;V0502;2;RELAÇÃO DE PARENTESCO OU DE CONVIVÊNCIA COM A PESSOA RESPONSÁVEL PELO DOMICÍLIO;integer;1
56;57;V0504;2;ORDEM LÓGICA;character;1
58;58;V0601;1;SEXO;integer;1
59;61;V6033;3;VARIÁVEL AUXILIAR DA IDADE CALCULADA (ANOS E MESES);integer;1
62;64;V6036;3;VARIÁVEL AUXILIAR DA IDADE CALCULADA EM ANOS;integer;1
65;66;V6037;2;VARIÁVEL AUXILIAR DA IDADE CALCULADA EM MESES (PARA AS PESSOAS MENORES DE 1 ANO);integer;1
67;67;V6040;1;FORMA DE DECLARAÇÃO DA IDADE;integer;1
68;68;V0606;1;COR OU RAÇA;integer;1
69;69;V0613;1;REGISTRO DE NASCIMENTO;integer;1
70;70;V0614;1;DIFICULDADE PERMANENTE DE ENXERGAR;integer;1
71;71;V0615;1;DIFICULDADE PERMANENTE DE OUVIR;integer;1
72;72;V0616;1;DIFICULDADE PERMANENTE DE CAMINHAR OU SUBIR DEGRAUS;integer;1
73;73;V0617;1;DEFICIÊNCIA MENTAL/INTELECTUAL PERMANENTE;integer;1
74;74;V0618;1;NASCEU NESTE MUNICÍPIO;integer;1
75;75;V0619;1;NASCEU NESTA UNIDADE DA FEDERAÇÃO;integer;1
76;76;V0620;1;NACIONALIDADE;integer;1
77;80;V0621;4;ANO QUE FIXOU RESIDÊNCIA NO BRASIL;integer;1
81;81;V0622;1;UF OU PAÍS ESTRANGEIRO DE NASCIMENTO;character;1
82;88;V6222;7;UNIDADE DA FEDERAÇÃO DE NASCIMENTO;character;1
89;95;V6224;7;QUAL É O PAÍS ESTRANGEIRO DE NASCIMENTO;character;1
96;98;V0623;3;TEMPO DE MORADIA NA UF;integer;1
99;101;V0624;3;TEMPO DE MORADIA NO MUNICÍPIO;integer;1
102;102;V0625;1;UNIDADE DA FEDERAÇÃO E MUNICÍPIO OU PAÍS ESTRANGEIRO DE MORADIA ANTES DE MUDAR-SE PARA ESTE MUNICÍPIO;integer;1
103;109;V6252;7;UF DE RESIDÊNCIA ANTERIOR;integer;1
110;116;V6254;7;MUNICÍPIO DE RESIDÊNCIA ANTERIOR;integer;1
117;123;V6256;7;PAÍS DE RESIDÊNCIA ANTERIOR;integer;1
124;124;V0626;1;RESIDÊNCIA EM 31 DE JULHO DE 2005;integer;1
125;131;V6262;7;UF DE RESIDÊNCIA EM 31 DE JULHO DE 2005;integer;1
132;138;V6264;7;MUNICÍPIO DE RESIDÊNCIA EM 31 DE JULHO DE 2005;integer;1
139;145;V6266;7;PAÍS DE RESIDÊNCIA EM 31 DE JULHO DE 2005;integer;1
146;146;V0627;1;SABE LER E ESCREVER;integer;1
147;147;V0628;1;FREQUENTA ESCOLA OU CRECHE;integer;1
148;149;V0629;2;CURSO QUE FREQUENTA;integer;1
150;151;V0630;2;SÉRIE / ANO QUE FREQUENTA;integer;1
152;152;V0631;1;SÉRIE QUE FREQUENTA;integer;1
153;153;V0632;1;CONCLUSÃO DE OUTRO CURSO SUPERIOR DE GRADUAÇÃO;integer;1
154;155;V0633;2;CURSO MAIS ELEVADO QUE FREQUENTOU;integer;1
156;156;V0634;1;CONCLUSÃO DESTE CURSO;integer;1
157;157;V0635;1;ESPÉCIE DO CURSO MAIS ELEVADO CONCLUÍDO;integer;1
158;158;V6400;1;NÍVEL DE INSTRUÇÃO;integer;1
159;161;V6352;3;CURSO SUPERIOR DE GRADUAÇÃO ;integer;1
162;164;V6354;3;CURSO DE MESTRADO;integer;1
165;167;V6356;3;CURSO DE DOUTORADO;integer;1
168;168;V0636;1;MUNICÍPIO E UNIDADE DA FEDERAÇÃO OU PAÍS ESTRANGEIRO QUE FREQUENTAVA ESCOLA (OU CRECHE);integer;1
169;175;V6362;7;UF QUE FREQUENTAVA ESCOLA (OU CRECHE);integer;1
176;182;V6364;7;MUNICÍPIO QUE FREQUENTAVA ESCOLA (OU CRECHE);integer;1
183;189;V6366;7;PAÍS ESTRANGEIRO QUE FREQUENTAVA ESCOLA (OU CRECHE);integer;1
190;190;V0637;1;VIVE EM COMPANHIA DE CÔNJUGE OU COMPANHEIRO(A);integer;1
191;192;V0638;2;NÚMERO DE ORDEM DO CÔNJUGE OU COMPANHEIRO(A);integer;1
193;193;V0639;1;NATUREZA DA UNIÃO;integer;1
194;194;V0640;1;ESTADO CIVIL;integer;1
