"";"V0001";"V0002";"V0011";"V0300";"V0010";"V1001";"V1002";"V1003";"V1004";"V1006.";"V0303";"V0304";"V0305";"V3061";"M0303";"M0304";"M0305";"M3061"
"1";35;49904;"3549904005001";99096;13,8996968151194;3;13;50;0;1;1;1989;2009;8000434;2;2;2;2
"2";35;49904;"3549904005001";240918;18,4536877859537;3;13;50;0;1;1;1982;2007;8000152;2;2;2;2
"3";35;49904;"3549904005001";969476;23,3471323753104;3;13;50;0;1;2;1985;2009;8000036;2;2;2;2
"4";35;49904;"3549904005001";999968;18,8156518748704;3;13;50;0;1;1;1954;2000;8000392;2;2;2;2
"5";35;49904;"3549904005001";1003061;21,1812212055006;3;13;50;0;1;2;1964;2002;8000380;2;2;2;2
"6";35;49904;"3549904005001";1840588;20,2760639141841;3;13;50;0;1;1;1984;2010;8000756;2;2;2;2
"7";35;49904;"3549904005001";2143074;14,6457731720052;3;13;50;0;1;2;1993;2009;8000276;2;2;2;2
"8";35;49904;"3549904005001";3014593;20,4047175267097;3;13;50;0;1;2;1975;1995;8000840;2;2;2;2
"9";35;49904;"3549904005001";3014593;20,4047175267097;3;13;50;0;1;1;1973;2009;8000840;2;2;2;2
"10";35;49904;"3549904005001";3040096;23,2813701460429;3;13;50;0;1;1;1979;2004;8000826;2;2;2;2
"11";35;49904;"3549904005001";3672908;18,4108901253481;3;13;50;0;1;2;1989;2007;8000392;2;2;2;2
"12";35;49904;"3549904005001";6101089;19,7952684880236;3;13;50;0;1;2;1990;2009;8000124;2;2;2;2
"13";35;49904;"3549904005002";366348;19,8195480946825;3;13;50;0;1;1;1980;1999;8000392;2;2;2;2
"14";35;49904;"3549904005002";366348;19,8195480946825;3;13;50;0;1;2;1954;2000;8000392;2;2;2;2
"15";35;49904;"3549904005002";859840;24,242396056516;3;13;50;0;1;2;1988;2010;8000840;2;2;2;2
"16";35;49904;"3549904005002";1343765;19,4625983308797;3;13;50;0;1;1;1977;2010;8000724;2;2;2;2
"17";35;49904;"3549904005002";1482251;22,6087983540391;3;13;50;0;1;2;1974;1998;8000840;2;2;2;2
"18";35;49904;"3549904005002";2676829;21,15378685284;3;13;50;0;1;2;1988;2009;8000710;2;2;2;2
"19";35;49904;"3549904005002";2788847;20,6328309213326;3;13;50;0;1;2;1982;2010;8000484;2;2;2;2
"20";35;49904;"3549904005002";2788847;20,6328309213326;3;13;50;0;1;1;1979;2010;8000710;2;2;2;2
"21";35;49904;"3549904005002";3182170;20,8938533591533;3;13;50;0;1;1;1977;2004;8000554;2;2;2;2
"22";35;49904;"3549904005002";3458130;20,1837294894472;3;13;50;0;1;2;1961;1998;8000840;2;2;2;2
"23";35;49904;"3549904005002";3980595;24,081628456385;3;13;50;0;1;1;1984;2008;8000840;2;2;2;2
"24";35;49904;"3549904005002";4544607;23,779030944492;3;13;50;0;1;2;1982;2007;8000784;2;2;2;2
"25";35;49904;"3549904005002";6064581;22,1899677707375;3;13;50;0;1;2;1973;2009;8000840;2;2;2;2
"26";35;49904;"3549904005003";83591;22,6054709093058;3;13;50;0;1;1;1979;2009;8000724;2;2;2;2
"27";35;49904;"3549904005003";687283;22,8710451859621;3;13;50;0;1;2;1970;2010;8000840;2;2;2;2
"28";35;49904;"3549904005003";792481;21,5282956549154;3;13;50;0;1;2;1978;2010;8000840;2;2;2;2
"29";35;49904;"3549904005003";2376378;17,0365182034182;3;13;50;0;1;2;1973;2008;8000858;2;2;2;2
"30";35;49904;"3549904005003";3054968;35,3019295211409;3;13;50;0;1;2;1969;2006;8000620;2;2;2;2
"31";35;49904;"3549904005003";3385924;19,0962359825611;3;13;50;0;1;1;1984;2009;8000036;2;2;2;2
"32";35;49904;"3549904005003";4143877;19,7414422573699;3;13;50;0;1;2;1981;2010;8000124;2;2;2;2
"33";35;49904;"3549904005003";4587357;20,740043221447;3;13;50;0;1;2;1965;2010;8000840;2;2;2;2
"34";35;49904;"3549904005003";5168168;20,8677102786372;3;13;50;0;1;2;1987;2006;8000840;2;2;2;2
"35";35;49904;"3549904005003";5937541;22,6303407532227;3;13;50;0;1;1;1977;2005;8000392;2;2;2;2
"36";35;49904;"3549904005004";2120857;23,6315898843207;3;13;50;0;1;2;1984;2005;8000840;2;2;2;2
"37";35;49904;"3549904005004";2267241;18,7882688853944;3;13;50;0;1;2;1980;2005;8000620;2;2;2;2
"38";35;49904;"3549904005004";4014186;17,1211845352529;3;13;50;0;1;2;1976;2009;8000840;2;2;2;2
"39";35;49904;"3549904005004";4014186;17,1211845352529;3;13;50;0;1;1;1985;2008;8000036;2;2;2;2
"40";35;49904;"3549904005004";4419297;16,8524008962052;3;13;50;0;1;2;1990;2010;8000840;2;2;2;2
"41";35;49904;"3549904005004";4699033;18,1784220655051;3;13;50;0;1;1;1970;2000;8000724;2;2;2;2
"42";35;49904;"3549904005004";5694657;15,4929680261144;3;13;50;0;1;1;1967;2008;8000840;2;2;2;2
"43";35;49904;"3549904005004";6079879;25,3495874470061;3;13;50;0;1;1;1970;2006;8000024;2;2;2;2
"44";35;49904;"3549904005004";6160017;26,6707497411068;3;13;50;0;1;1;1979;2009;8000372;2;2;2;2
"45";35;49904;"3549904005006";80381;27,1943483211941;3;13;50;0;1;2;1960;2009;8000826;2;2;2;2
"46";35;49904;"3549904005006";1178293;13,5634789626034;3;13;50;0;1;2;1982;2008;8000724;2;2;2;2
"47";35;49904;"3549904005006";3458531;15,9490906151447;3;13;50;0;1;2;1979;2010;8000380;2;2;2;2
"48";35;49904;"3549904005006";3650729;22,7151962597516;3;13;50;0;1;1;1965;2000;8000724;2;2;2;2
"49";35;49904;"3549904005006";3651396;28,9466314930057;3;13;50;0;1;2;1981;2010;8000276;2;2;2;2
"50";35;49904;"3549904005006";5264879;25,3754793027369;3;13;50;0;1;1;1961;1996;8000036;2;2;2;2
"51";35;49904;"3549904005006";5264879;25,3754793027369;3;13;50;0;1;1;1971;1999;8000372;2;2;2;2
"52";35;49904;"3549904005007";1169934;11,3305567890753;3;13;50;0;2;1;1985;2008;8000372;2;2;2;2
"53";35;49904;"3549904005007";4482669;21,3429683915628;3;13;50;0;1;2;1983;2009;8000840;2;2;2;2
"54";35;49904;"3549904005007";4766325;9,8105248702965;3;13;50;0;2;2;1990;2006;8000124;2;2;2;2
"55";35;49904;"3549904005007";5035061;15,738012205079;3;13;50;0;1;2;1974;2005;8000620;2;2;2;2
"56";35;49904;"3549904005009";249413;19,3580956610021;3;13;50;0;1;1;1974;2006;8000840;2;2;2;2
"57";35;49904;"3549904005009";397552;21,0397891497732;3;13;50;0;1;1;1979;2010;8000250;2;2;2;2
"58";35;49904;"3549904005009";495172;21,619032681698;3;13;50;0;1;1;1961;2010;8000724;2;2;2;2
"59";35;49904;"3549904005009";495172;21,619032681698;3;13;50;0;1;2;1981;2007;8000724;2;2;2;2
"60";35;49904;"3549904005009";1259495;26,5428730113987;3;13;50;0;1;1;1986;2008;8000840;2;2;2;2
"61";35;49904;"3549904005009";1259495;26,5428730113987;3;13;50;0;1;1;1986;2008;8000840;2;2;2;2
"62";35;49904;"3549904005009";1700293;22,2524727851287;3;13;50;0;1;2;1983;2008;8000840;2;2;2;2
"63";35;49904;"3549904005009";2411625;16,8364827137495;3;13;50;0;1;1;1988;2010;8000250;2;2;2;2
"64";35;49904;"3549904005009";3045949;31,823821301648;3;13;50;0;1;2;1980;2010;8000840;2;2;2;2
"65";35;49904;"3549904005009";3576290;14,1170948233402;3;13;50;0;1;2;1988;2010;8000826;2;2;2;2
"66";35;49904;"3549904005009";3628680;22,114078633528;3;13;50;0;1;1;1987;2009;8000826;2;2;2;2
"67";35;49904;"3549904005009";3636530;20,512856696357;3;13;50;0;1;1;1984;2009;8000840;2;2;2;2
