"";"V0001";"V0002";"V0011";"V0300";"V0010";"V1001";"V1002";"V1003";"V1004";"V1006";"V0703";"V0704";"V7051";"V7052";"M0703";"M0704";"M7051";"M7052"
"1";35;49904;3549904005001;284065;21,1812212055006;3;13;50;0;1;2;1;51;NA;2;2;2;2
"2";35;49904;3549904005001;673001;21,2145599687484;3;13;50;0;1;11;2;90;NA;2;2;2;2
"3";35;49904;3549904005001;706573;15,7483999534868;3;13;50;0;1;10;1;79;NA;2;2;2;2
"4";35;49904;3549904005001;953396;17,1311663840749;3;13;50;0;1;8;1;48;NA;2;2;2;2
"5";35;49904;3549904005001;1225721;33,141751446755;3;13;50;0;1;3;1;85;NA;2;2;2;2
"6";35;49904;3549904005001;1343814;18,7308493847758;3;13;50;0;1;12;2;47;NA;2;2;2;2
"7";35;49904;3549904005001;1745704;19,4140174450451;3;13;50;0;1;8;2;85;NA;2;2;2;2
"8";35;49904;3549904005001;1976282;15,9538026859455;3;13;50;0;1;11;1;73;NA;2;2;2;2
"9";35;49904;3549904005001;2821857;14,3075261557366;3;13;50;0;1;8;2;83;NA;2;2;2;2
"10";35;49904;3549904005001;2829978;14,1747727362401;3;13;50;0;1;7;1;30;NA;2;2;2;2
"11";35;49904;3549904005001;2923359;22,8346468414034;3;13;50;0;1;4;1;53;NA;2;2;2;2
"12";35;49904;3549904005001;3781752;22,5306734882393;3;13;50;0;1;1;1;69;NA;2;2;2;2
"13";35;49904;3549904005001;4432588;18,1042933563455;3;13;50;0;1;11;1;NA;1;2;2;2;2
"14";35;49904;3549904005001;4512545;28,8685833374028;3;13;50;0;1;8;1;63;NA;2;2;2;2
"15";35;49904;3549904005001;5181327;20,9018456930498;3;13;50;0;1;8;2;54;NA;2;2;2;2
"16";35;49904;3549904005002;1508521;18,6251640438388;3;13;50;0;1;12;1;49;NA;2;2;2;2
"17";35;49904;3549904005002;1707935;21,4687633715059;3;13;50;0;1;10;2;79;NA;2;2;2;2
